Scenario,ReturnPeriod,Climate,Maintenance,Region,Mode,Asset,Baseline_Value,RingBunds_Value,Reduction_Absolute,Reduction_Percentage
2.3_future_breaches,2.3,future,breaches,Jacobabad,Exp,schools,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Exp,roads,510,510,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Exp,hydraulic,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Dmg,crop,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Dmg,buildLow56,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Dmg,buildLow44,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Dmg,buildHigh,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Dmg,telecom,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Dmg,electric,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Dmg,railways,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Dmg,hospitals,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Dmg,bhu,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Dmg,schools,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Dmg,roads,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jacobabad,Dmg,hydraulic,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Exp,crop,19070.01,19070.01,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Exp,buildLow56,1275120,1275120,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Exp,buildLow44,1001880,1001880,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Exp,buildHigh,292500,292500,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Exp,telecom,10,10,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Exp,electric,44430,44430,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Exp,railways,6810,6810,0,0.00
2.3_future_breaches,2.3,future,breaches,Jamshoro,Exp,hospitals,1,1,0,0.00
